QF,"Application to promote and aid use of UQ methods in NHE research for response estimation, surrogate modeling, and calibration",GC,M,InProgress,
**QF.1**,**Ability to use Various UQ Methods and Variable Options**,,,,
QF.1.1,Ability to use Forward Propagtion methods listed in UQ under UF,SP,M,Implemented, `qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html>`_
QF.1.2,Ability to use Random Variable Distributions defined in RV,SP,M,Implemented, `qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html>`_
QF.1.3,Ability to use Reliability Methods listed in UQ under UR,SP,M,Implemented, `qfem-0001 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0001/README.html>`_
QF.1.4,Ability to use Global Sensitivity Methods listed in UQ under UG,SP,M,Implemented,`qfem-0009 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0009/README.html>`_
QF.1.5,Ability to both use and create surrogates listed in UQ under US,SP,M,Implemented,`qfem-0016 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0016/README.html>`_
QF.1.6,Ability to use High Dimensional UQ listed in UQ under UH,SP,M,InProgress,`qfem-0022 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0022/README.html>`_
QF.1.7,Ability to use Bayesian Calibration methods listed in UQ under UB,SP,M,InProgress,`qfem-0014 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0014/README.html>`_
QF.1.8,Ability to use Nonlinear Least Squares  methods listed in UQ under UN,SP,M,Implemented,`qfem-0007 <https://nheri-simcenter.github.io/quoFEM-Documentation/common/user_manual/examples/desktop/qfem-0007/README.html>`_
,,,,,
**QF.2**,**Ability to use Different Simulation Applications**,,,,
QF.2.1,Ability to use OpenSees,SP,M,Implemented,
QF.2.2,Ability to use OpenSeesPy,SP,M,Implemented,
QF.2.3,Ability to use OpenSeesPy,UF,M,Implemented,
QF.2.3,Ability to Incorporate User Own Applications,UF,M,Implemented,
,,,,,
**QF.3**,**Ability to Visualize the Results**,SP,M,Implemented,
QF.3.1,Ability to view individual sample results,SP,M,Implemented,
QF.3.2,Ability to graphically view the results to show distribution in respone,SP,M,Implemented,
QF.3.2,Ability to view statistical measures of response,SP,M,Implemented,
,,,,,
**QF.4**,**Miscellaneous User Requests**,,,,
QF.4.1,"Run application from command line, include option to run remotely",UF,D,,
,,,,,
**QF.5**,**General Software Requirements**,,,,
QF.5.1,Application to Provide Common SimCenter Research Application Requirements listed in CR,GC,M,InProgress,
