Longitude,Latitude,Garage
-93.209517,30.228678,NO
-93.218697,30.169333,NO
-93.17435,30.170704,NO
-93.207576,30.229904,NO
-93.19914,30.247647,NO
-93.183461,30.252117,NO
-93.173903,30.228013,NO
-93.222769,30.194871,NO
-93.205848,30.21031,NO
-93.244248,30.171288,NO
-93.174757,30.172233,NO
-93.225498,30.180715,NO
-93.177527,30.269291,NO
-93.19179,30.193207,NO
-93.202673,30.186849,NO
-93.227658,30.212678,NO
-93.215103,30.190361,NO
-93.211696,30.209914,NO
-93.220371,30.210732,NO
-93.191146,30.250826,NO
-93.243182,30.19071,NO
-93.212082,30.222281,NO
-93.200549,30.244754,NO
-93.171594,30.170712,NO
-93.228811,30.18748,NO
-93.263669,30.181954,NO
-93.203636,30.190167,NO
-93.222396,30.175424,NO
-93.201926,30.214462,NO
-93.201761,30.216883,NO
-93.198787,30.182585,NO
-93.199156,30.23377,NO
-93.255728,30.180312,NO
-93.293741,30.169944,NO
-93.224332,30.186391,NO
-93.20393,30.218184,NO
-93.220619,30.220886,NO
-93.261027,30.190912,NO
-93.217384,30.221434,NO
-93.191742,30.224868,NO
-93.208121,30.176984,NO
-93.207769,30.208679,NO
-93.173739,30.215599,NO
-93.208057,30.206929,NO
-93.222902,30.191414,NO
-93.192964,30.256624,NO
-93.198884,30.245706,NO
-93.206175,30.170173,NO
-93.183508,30.192949,NO
-93.189183,30.252829,NO
-93.187189,30.211641,NO
-93.210132,30.188613,NO
-93.216775,30.167133,NO
-93.22375,30.21127,NO
-93.189237,30.222915,NO
-93.208774,30.224018,NO
-93.231686,30.195755,NO
-93.189042,30.222133,NO
-93.192896,30.244617,NO
-93.19781,30.212367,NO
-93.220128,30.216519,NO
-93.196642,30.208161,Carport
-93.210998,30.219294,Carport
-93.205831,30.206585,Carport
-93.225195,30.19322,Carport
-93.214898,30.16783,Carport
-93.207546,30.186689,Carport
-93.199388,30.182973,Carport
-93.181943,30.207811,AG-standard
-93.230913,30.178034,AG-standard
-93.216588,30.170699,AG-standard
-93.215392,30.167677,AG-standard
-93.213278,30.194387,AG-standard
-93.211614,30.168345,AG-standard
-93.243241,30.174498,AG-standard
-93.194254,30.185808,AG-standard
-93.204686,30.182191,AG-open
-93.192768,30.191952,AG-open
-93.175618,30.266552,AG-open
-93.203846,30.183327,AG-open
-93.179047,30.261886,AG-open
-93.186478,30.212457,AG-open
-93.178499,30.20367,AG-open
-93.172482,30.203691,AG-open
-93.186269,30.217703,AG-open
-93.225853,30.188801,AG-open
-93.18272,30.19367,AG-open
-93.205205,30.201278,AG-open
-93.184435,30.208231,AG-open
-93.177219,30.201829,AG-open
-93.178972,30.206188,AG-open
-93.203172,30.191826,AG-open
-93.222882,30.165321,AG-open
-93.201909,30.208406,AG-open
-93.18138,30.191605,AG-open
-93.2031,30.185637,AG-open
-93.172936,30.199104,AG-open
-93.234524,30.173249,AG-open
-93.263592,30.187541,AG-open
-93.190414,30.247067,AG-open
