%1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFD-1-1,1-PFD-1-2,1-PID-1-1,1-PRD-1-1
108.745,116.11,251.565,406.929,9.29265,15.0873,0.0645323,0.0645323
168.49200000000005,131.494,326.848,374.158,12.1005,13.865,0.084031,0.084031
92.6285,144.769,103.124,199.746,3.75621,7.359939999999999,0.0260848,0.0260848
87.2455,121.971,338.214,444.429,12.5244,16.4859,0.0869749,0.0869749
112.532,82.941,221.676,338.774,8.17788,12.5453,0.0567908,0.0567908
101.315,155.846,374.80800000000005,724.2560000000002,13.8893,26.9226,0.0964533,0.0964533
93.0894,150.134,290.437,255.53,10.7424,9.44052,0.07460019999999999,0.07460019999999999
106.529,113.273,427.2480000000001,719.6010000000001,15.8451,26.749,0.110035,0.110035
158.267,180.78,154.786,238.272,5.68307,8.79685,0.0394657,0.0394657
129.796,161.651,733.235,351.655,27.2576,13.0257,0.189289,0.189289
107.45,130.70600000000002,351.5030000000001,439.954,13.0201,16.319000000000006,0.090417,0.090417
142.264,139.732,119.956,283.57,4.38401,10.4864,0.0304445,0.0304445
99.3199,138.84,298.722,265.033,11.0515,9.79498,0.0767463,0.0767463
169.076,73.3334,369.055,176.375,13.6747,6.48827,0.0949629,0.0949629
127.37,135.265,350.571,135.759,12.9853,4.9734099999999986,0.0901756,0.0901756
150.22,170.63099999999997,209.357,183.082,7.71842,6.73845,0.0536001,0.0536001
161.762,111.049,187.701,174.726,6.91068,6.4267699999999985,0.0479909,0.0479909
136.92,145.774,291.322,244.779,10.7755,9.03953,0.0748297,0.0748297
167.924,126.049,364.279,380.353,13.4966,14.0961,0.0937261,0.0937261
97.7387,129.232,231.357,136.435,8.53895,4.99862,0.0592982,0.0592982
